,index,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal,rank_num_homophones
0,0,a,4.36,1,1,ART,1,1,1,False,6,-4.543025138092167,4.543025138092167,6.0
1,4,AA,0.48,1,11,N,2,2,2,False,1,-4.726224485145988,4.726224485145988,902.0
2,6,aback,0.48,2,@b{k,ADV,2,4,2,False,0,-4.881225533809513,4.881225533809513,5493.0
3,7,abacus,0.0,0,{b@k@s,N,3,6,3,False,0,-7.0812374259527315,7.0812374259527315,5494.0
4,8,abaft,0.0,1,@b#ft,ADV,2,5,2,False,1,-5.508809003318572,5.508809003318572,903.0
5,10,abandon,0.3,1,@b{nd@n,N,3,7,3,False,1,-7.338566023094971,7.338566023094971,904.0
6,12,abandoned,0.0,1,@b{nd@nd,A,3,8,3,False,0,-8.973166313528006,8.973166313528006,5495.0
7,13,abandonment,0.7,2,@b{nd@nm@nt,N,4,11,4,False,0,-9.749257432514092,9.749257432514092,5496.0
8,14,abase,0.0,0,@b1s,V,2,4,2,False,0,-5.1421572064811825,5.1421572064811825,5497.0
9,15,abasement,0.0,2,@b1sm@nt,N,3,8,3,False,0,-6.031537506736921,6.031537506736921,5498.0
10,16,abash,0.0,0,@b{S,V,2,4,2,False,0,-5.1747922614765125,5.1747922614765125,5499.0
11,17,abate,0.3,0,@b1t,V,2,4,2,False,0,-4.4843159294371375,4.4843159294371375,5500.0
12,18,abatement,0.0,2,@b1tm@nt,N,3,8,3,False,0,-6.093422953966762,6.093422953966762,5501.0
13,19,abattoir,0.3,0,{b@tw#R,N,3,7,3,False,0,-6.484586411707568,6.484586411707568,5502.0
14,20,abbe,0.0,1,{b1,N,2,3,2,False,0,-4.7284481353312025,4.7284481353312025,5503.0
15,21,abbess,0.48,0,{bEs,N,2,4,2,False,0,-5.323238764760437,5.323238764760437,5504.0
16,22,abbey,1.0,1,{bI,N,2,3,2,False,0,-5.357923796589847,5.357923796589847,5505.0
17,23,abbot,0.3,1,{b@t,N,2,4,2,False,0,-5.241596936309432,5.241596936309432,5506.0
18,24,abbreviate,0.3,0,@brivI1t,V,4,8,4,False,0,-6.969891795994088,6.969891795994088,5507.0
19,25,abbreviation,0.0,2,@brivI1SH,N,5,9,4,False,0,-6.841973121104419,6.841973121104419,5508.0
20,26,ABC,0.3,1,1bisi,N,3,5,3,False,0,-6.162612019532494,6.162612019532494,5509.0
21,27,abdicate,0.3,0,{bdIk1t,V,3,7,3,False,0,-6.248048855243138,6.248048855243138,5510.0
22,28,abdication,0.3,2,{bdIk1SH,N,4,8,3,False,0,-5.926284332916057,5.926284332916057,5511.0
23,29,abdomen,0.78,0,{bd@mEn,N,3,7,3,False,0,-7.498076224206812,7.498076224206812,5512.0
24,30,abdominal,0.85,2,{bdQmInP,A,4,8,3,False,0,-6.6061918208976484,6.6061918208976484,5513.0
25,31,abduct,0.0,0,@bdVkt,V,2,6,2,False,0,-5.966697030555414,5.966697030555414,5514.0
26,32,abduction,0.0,2,{bdVkSH,N,3,7,2,False,0,-5.718141968914812,5.718141968914812,5515.0
27,33,abeam,0.0,2,@bim,ADV,2,4,2,False,0,-4.999248880529504,4.999248880529504,5516.0
28,34,abed,0.0,2,@bEd,A,2,4,2,False,0,-5.068196647693624,5.068196647693624,5517.0
29,35,aberrant,0.0,2,{bEr@nt,A,3,7,3,False,0,-6.904616956782723,6.904616956782723,5518.0
30,36,aberration,0.48,0,{b@r1SH,N,4,7,3,False,0,-5.201686630136223,5.201686630136223,5519.0
31,37,abet,0.3,1,@bEt,V,2,4,2,False,0,-4.942811532367611,4.942811532367611,5520.0
32,38,abettor,0.0,2,@bEt@R,N,3,6,3,False,0,-5.554002495565035,5.554002495565035,5521.0
33,39,abeyance,0.0,2,@b1@ns,N,3,6,3,False,0,-5.443102618806394,5.443102618806394,5522.0
34,40,abeyant,0.0,0,@b1@nt,A,3,6,3,False,0,-6.03650513220329,6.03650513220329,5523.0
35,41,abhor,0.3,0,@bh$R,V,2,5,2,False,0,-4.898123138636846,4.898123138636846,5524.0
36,42,abhorrence,0.0,2,@bhQr@ns,N,3,8,3,False,0,-6.41406332605971,6.41406332605971,5525.0
37,43,abhorrent,0.0,2,@bhQr@nt,A,3,8,3,False,0,-6.1543622838656455,6.1543622838656455,5526.0
38,45,abide,0.7,0,@b2d,V,2,4,2,False,0,-4.862777746884987,4.862777746884987,5527.0
39,47,abiding,0.3,1,@b2dIN,A,3,6,3,False,0,-5.91024310220891,5.91024310220891,5528.0
40,48,abilities,0.0,1,@bIl@tIz,N,4,8,4,False,0,-6.496754659752271,6.496754659752271,5529.0
41,49,ability,1.94,2,@bIl@tI,N,4,7,4,False,0,-4.458553348418213,4.458553348418213,5530.0
42,51,abject,0.48,0,{b_Ekt,A,2,6,2,False,0,-4.955095570156967,4.955095570156967,5531.0
43,52,abjection,0.0,2,{b_EkSH,N,3,7,2,False,0,-4.915361452249807,4.915361452249807,5532.0
44,53,abjectly,0.0,2,{b_EktlI,ADV,3,8,3,False,0,-6.082197079094002,6.082197079094002,5533.0
45,54,abjuration,0.0,2,{b_9r1SH,N,4,8,3,False,0,-6.193568366030629,6.193568366030629,5534.0
46,55,abjure,0.0,0,@b_9R,V,2,5,2,False,0,-5.24178462348576,5.24178462348576,5535.0
47,56,ablative,0.0,1,{bl@tIv,N,3,7,3,False,1,-7.772835069796273,7.772835069796273,905.0
48,58,ablaut,0.0,0,{bl6t,N,2,5,2,False,0,-5.924856286539608,5.924856286539608,5536.0
49,59,ablaze,0.0,2,@bl1z,A,2,5,2,False,1,-6.920798759898806,6.920798759898806,906.0
50,61,able,2.52,1,1bP,A,2,3,1,False,0,-4.8227215268324475,4.8227215268324475,5537.0
51,65,ablution,0.0,0,@bluSH,N,3,6,2,False,0,-6.694721415748989,6.694721415748989,5538.0
52,66,ablutions,0.0,1,@bluSHz,N,3,7,2,False,0,-8.215761267595376,8.215761267595376,5539.0
